Altium Designer Pick and Place Locations
C:\Users\atrus\Dropbox\elec\pr\blueacro\led\ledbrick_plus_led\ledbrick_plus_led\Project Outputs for ledbrick_plus_led\Pick Place\Pick Place for ledbrick_plus_led.csv

========================================================================================================================
File Design Information:

Date:       14/10/25
Time:       16:53
Revision:   55724f7e393428e54835342a32f830bb0f2fab79
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LED44","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","96.0000","50.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED43","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","90.0000","41.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED42","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","80.0000","50.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED41","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","69.0000","41.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED40","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","63.0000","50.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED39","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","57.0750","41.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED38","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","52.0000","50.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"LED37","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","46.0000","41.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"JC1","504050-1091","TopLayer","FP-504050-1091-MFG","133.0000","5.4450","180","Conn Wire to Board HDR 10 POS 1.5mm Solder RA SMD Pico-Lock™ T/R"
"LED36","L1RX-RYL1000000000","TopLayer","L1RX-RYL1000000000-Footprint-1","40.0000","50.0000","180","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V"
"J1","5040500691","TopLayer","MOLEX_5040500691","40.0000","5.2750","180","CONN WIRE TO BOARD RA 6POS"
"JA1","504050-1091","TopLayer","FP-504050-1091-MFG","20.0000","5.4450","180","Conn Wire to Board HDR 10 POS 1.5mm Solder RA SMD Pico-Lock™ T/R"
