Comment,Description,Designator,Footprint,LibRef,Quantity
"CAP 0.1uF 50V X7R 0603","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R","C200, C201, C401, C404, C500, C501","FP-CL10-IPC_B","CMP-001-00084-7","6"
"0.001uF 50V 0603 X7R","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.001uF, Surface Mount, 0603","C4_A, C4_B, C4_C, C4_D, C4_E, C4_F, C4_G, C4_H","FP-0603-L_1_6_0_15-W_0_81-IPC_B","CMP-001-00131-2","8"
"1K 0603 1%","Res Thick Film 0603 1K Ohm 1% 1/10W ±100ppm/°C Molded SMD Punched Carrier T/R","R2_A, R2_B, R2_C, R2_D, R2_E, R2_F, R2_G, R2_H","RESC1608-IPC-NL","CMP-009-00193-3","8"
"1M 0603 1%","VISHAY - CRCW06031M00FKEAHP - RES, AEC-Q200, THICK FILM, 1M, 0603","R3_A, R3_B, R3_C, R3_D, R3_E, R3_F, R3_G, R3_H","RESC1608-IPC-NL","CMP-009-00187-4","8"
"10K 0603 1%","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R201, R202, R204, R221, R222, R223, R226, R227","RESC1608-IPC-ML","CMP-009-00191-4","8"
"18k 0603","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 18000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","R5_A, R5_B, R5_C, R5_D, R5_E, R5_F, R5_G, R5_H","FP-CRCW0603-e3-IPC_B","CMP-009-00244-2","8"
"100k 0603 1%","Res Thick Film 1.6 x 0.8 mm 100K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R7_A, R7_B, R7_C, R7_D, R7_E, R7_F, R7_G, R7_H","RESC1608-IPC-NL","CMP-009-00203-1","8"
"309k 0603 1%","Res Thick Film 0603 309K Ohm 1% 0.1W(1/10W) ±100ppm/C Molded SMD Paper T/R","R4_A, R4_B, R4_C, R4_D, R4_E, R4_F, R4_G, R4_H","RESC1608-IPC-NL","CMP-009-00208-2","8"
"ERJ-3EKF6192V","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 61900ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603","R6_A, R6_B, R6_C, R6_D, R6_E, R6_F, R6_G, R6_H","RESC1608X55X30ML15T15","CMP-009-00245-1","8"
"MFL12HR100FT","Fixed Resistor, Metal Strip, 3W, 0.1ohm, 5.48V, 1% +/-Tol, 50ppm/Cel, Surface Mount, 2513","R1_A, R1_B, R1_C, R1_D, R1_E, R1_F, R1_G, R1_H","FP-CRA2512-MFG","CMP-009-00243-1","8"
"MWSA0603S-100MT","General Purpose Inductor, 10uH, 20%, 1 Element, Composite-Core, SMD, 2525","L1_A, L1_B, L1_C, L1_D, L1_E, L1_F, L1_G, L1_H","FP-IHLP-2525CZ-FP_2_413x3-MFG","CMP-006-00037-1","8"
"PMEG100V100ELPDZ","Rectifier Diode, Schottky, 1 Phase, 1 Element, 100V V(RRM), Silicon","D1_A, D1_B, D1_C, D1_D, D1_E, D1_F, D1_G, D1_H","DFN355P580X82-3N","CMP-004-00041-2","8"
"TPS922053DRRR","65-V, 2-A buck LED driver with inductive fast dimming and spread spectrum 12-WSON -40 to 125","U1_A, U1_B, U1_C, U1_D, U1_E, U1_F, U1_G, U1_H","SON50P300X100_HS-13N","CMP-019-00085-2","8"
"CAP 1uF 10V X7R 0603","Cap Ceramic 1uF 10V X7R 10% SMD 0603 125C Paper T/R","C2_A, C2_B, C2_C, C2_D, C2_E, C2_F, C2_G, C2_H, C203, C206","FP-CL10-IPC_B","CMP-001-00085-7","10"
"0.1uF X7R 100V 0805","Ceramic Capacitor, Multilayer, Ceramic, 100V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0805","C1_A, C1_B, C1_C, C1_D, C1_E, C1_F, C1_G, C1_H, C3_A, C3_B, C3_C, C3_D, C3_E, C3_F, C3_G, C3_H","CAPC2013X94X50NL20T25","CMP-001-00130-1","16"
"10K 0603 1%","Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R200, R203, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R225","RESC1608-IPC-NL","CMP-009-00191-4","17"
"10R 0603 1%","YAGEO (PHYCOMP) - RC0603FR-0710RL - RES, THICK FILM, 10R, 1%, 0.1W, 0603","R8_A, R8_B, R8_C, R8_D, R8_E, R8_F, R8_G, R8_H, R9_A, R9_B, R9_C, R9_D, R9_E, R9_F, R9_G, R9_H, R224, R228, R229","RESC1608-IPC-NL","CMP-009-00180-2","19"
